L.Act - R.Act Pitch, Yaw, Roll, Contact
 ***Left Actuator value = -0.1 ****
L -0.1   R -0.1  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.1   R -0.08947368421052632  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.1   R -0.07894736842105264  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.1   R -0.06842105263157895  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.1   R -0.05789473684210527  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.1   R -0.04736842105263159  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.1   R -0.0368421052631579  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.1   R -0.026315789473684223  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.1   R -0.015789473684210534  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.1   R -0.005263157894736845  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
 L -0.1   R 0.005263157894736831  P -1.511186948634276,   Y-0.0015181801599661448,    R -3.033596204507744e-06, AxisA((-1.526011692476459e-05, -1.000274419784546, -0.0010048715630546212), 0.02636737935245037) C0
